Date,Sport,Google_Trends_Popularity,YouTube_Views_Score,Major_Event
7/1/2016,Basketball,20,40,0
8/1/2016,Basketball,39,57,1
9/1/2016,Basketball,19,35,0
10/1/2016,Basketball,24,35,0
11/1/2016,Basketball,34,43,0
12/1/2016,Basketball,38,39,0
1/1/2017,Basketball,44,0,0
2/1/2017,Basketball,53,0,0
3/1/2017,Basketball,66,0,0
4/1/2017,Basketball,29,0,0
5/1/2017,Basketball,24,0,0
6/1/2017,Basketball,25,0,0
7/1/2017,Basketball,18,0,0
8/1/2017,Basketball,19,31,0
9/1/2017,Basketball,24,31,0
10/1/2017,Basketball,29,33,0
11/1/2017,Basketball,46,38,0
12/1/2017,Basketball,49,35,0
1/1/2018,Basketball,58,34,0
2/1/2018,Basketball,63,34,0
3/1/2018,Basketball,85,32,0
4/1/2018,Basketball,32,28,0
5/1/2018,Basketball,24,28,0
6/1/2018,Basketball,23,29,0
7/1/2018,Basketball,20,32,0
8/1/2018,Basketball,19,28,0
9/1/2018,Basketball,21,25,0
10/1/2018,Basketball,24,25,0
11/1/2018,Basketball,51,31,0
12/1/2018,Basketball,50,28,0
1/1/2019,Basketball,61,27,0
2/1/2019,Basketball,71,30,0
3/1/2019,Basketball,100,30,0
4/1/2019,Basketball,39,26,0
5/1/2019,Basketball,28,27,0
6/1/2019,Basketball,27,27,0
7/1/2019,Basketball,22,24,0
8/1/2019,Basketball,24,28,1
9/1/2019,Basketball,46,35,0
10/1/2019,Basketball,28,24,0
11/1/2019,Basketball,59,31,0
12/1/2019,Basketball,52,32,0
1/1/2020,Basketball,65,33,0
2/1/2020,Basketball,68,35,0
3/1/2020,Basketball,38,26,0
4/1/2020,Basketball,17,19,0
5/1/2020,Basketball,16,19,0
6/1/2020,Basketball,17,18,0
7/1/2020,Basketball,15,18,0
8/1/2020,Basketball,19,18,0
9/1/2020,Basketball,20,18,0
10/1/2020,Basketball,19,18,0
11/1/2020,Basketball,25,22,0
12/1/2020,Basketball,41,22,0
1/1/2021,Basketball,42,23,0
2/1/2021,Basketball,50,26,0
3/1/2021,Basketball,76,28,0
4/1/2021,Basketball,32,22,0
5/1/2021,Basketball,24,20,0
6/1/2021,Basketball,24,22,0
7/1/2021,Basketball,35,31,1
8/1/2021,Basketball,33,27,0
9/1/2021,Basketball,20,19,0
10/1/2021,Basketball,25,23,0
11/1/2021,Basketball,49,29,0
12/1/2021,Basketball,50,28,0
1/1/2022,Basketball,50,28,0
2/1/2022,Basketball,63,31,0
3/1/2022,Basketball,85,33,0
4/1/2022,Basketball,38,27,0
5/1/2022,Basketball,27,29,0
6/1/2022,Basketball,27,29,0
7/1/2022,Basketball,22,29,0
8/1/2022,Basketball,22,26,0
9/1/2022,Basketball,35,28,0
10/1/2022,Basketball,27,29,0
11/1/2022,Basketball,47,34,0
12/1/2022,Basketball,51,31,0
1/1/2023,Basketball,60,30,0
2/1/2023,Basketball,64,35,0
3/1/2023,Basketball,92,33,0
4/1/2023,Basketball,38,29,0
5/1/2023,Basketball,34,31,0
6/1/2023,Basketball,28,27,0
7/1/2023,Basketball,22,25,0
8/1/2023,Basketball,34,31,1
9/1/2023,Basketball,42,32,0
10/1/2023,Basketball,30,28,0
11/1/2023,Basketball,52,36,0
12/1/2023,Basketball,49,38,0
1/1/2024,Basketball,59,34,0
2/1/2024,Basketball,72,33,0
3/1/2024,Basketball,100,35,0
4/1/2024,Basketball,50,31,0
5/1/2024,Basketball,31,25,0
6/1/2024,Basketball,26,26,0
7/1/2024,Basketball,50,45,0
8/1/2024,Basketball,77,50,1
9/1/2024,Basketball,23,25,0
10/1/2024,Basketball,29,27,0
11/1/2024,Basketball,50,34,0
12/1/2024,Basketball,50,33,0
1/1/2025,Basketball,55,33,0
2/1/2025,Basketball,68,37,0
3/1/2025,Basketball,95,41,0
4/1/2025,Basketball,44,31,0
1/1/2004,Tennis,43,0,1
2/1/2004,Tennis,34,0,0
3/1/2004,Tennis,35,0,0
4/1/2004,Tennis,38,0,0
5/1/2004,Tennis,47,0,0
6/1/2004,Tennis,64,0,1
7/1/2004,Tennis,57,0,0
8/1/2004,Tennis,53,0,0
9/1/2004,Tennis,60,0,1
10/1/2004,Tennis,37,0,0
11/1/2004,Tennis,34,0,0
12/1/2004,Tennis,25,0,0
1/1/2005,Tennis,47,0,1
2/1/2005,Tennis,36,0,0
3/1/2005,Tennis,39,0,0
4/1/2005,Tennis,45,0,0
5/1/2005,Tennis,51,0,0
6/1/2005,Tennis,68,0,1
7/1/2005,Tennis,51,0,0
8/1/2005,Tennis,48,0,0
9/1/2005,Tennis,64,0,0
